call_id,input_preview,input_length_chars,success,elapsed_s,result_keys,result_key_count,result_json_snippet,error
0,We conducted a retrospective case-control study at a university dental hospital in Germany enrolling patients with oral ,631,True,8.9452,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus (a potentially malignant ora",
1,We conducted a multi-centre observational study at a specialist maxillofacial unit in Taiwan enrolling patients with den,551,True,13.7238,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
2,We conducted a retrospective case-control study at a tertiary referral cancer centre in Taiwan enrolling patients with o,718,True,9.2718,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis (a potentially malignan",
3,We conducted a prospective cohort study at a municipal public health dental screening programme in Germany enrolling pat,624,True,11.5116,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
4,We conducted a cross-sectional survey at a community oral health clinic in the United Kingdom enrolling patients with or,707,True,10.1592,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""93 participants with oral lichen planus, a chronic inflammatory oral condition generally considered innocuous/non-malignant""}, ""susp",
5,We conducted a pragmatic cluster RCT at a rural primary care dental practice in Brazil enrolling patients with oral leuk,619,True,8.7864,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia (a potentially malignant oral ",
6,We conducted a single-arm pilot study at a veterans' healthcare dental department in South Korea enrolling patients with,550,True,6.243,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC), 1115 parti",
7,We conducted a single-arm pilot study at a community oral health clinic in China enrolling patients with oral squamous c,595,True,6.0385,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC) enrolled at",
8,We conducted a cross-sectional survey at a tertiary referral cancer centre in the United States enrolling patients with ,539,True,9.9203,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
9,We conducted a single-arm pilot study at a tertiary referral cancer centre in Sri Lanka enrolling patients with dental c,537,True,6.519,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with dental caries in high-risk adults (mean age 44 years, 93% alcohol co-use), recruited at a tertiary referral cancer cen",
